Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12
2007,1,11.6550668696544,0.627764304204194,12.9422090909091,10.2404375,1311,11.5926730952115,0.590205906294306,12.5598888888889,10.2424692307692,1066
2007,2,12.9216413727219,0.406669491902183,14.9529923076923,11.75594,1035,12.6999472332929,0.339856002180483,13.3682571428571,11.71605,843
2007,3,12.7301604886812,0.937243399492593,15.1126466666667,10.6533888888889,955,11.7188788784804,0.68202162384702,13.1827230769231,10.6743375,721
2007,4,11.9285187515489,1.05220394418376,15.1540272727273,10.1385285714286,1396,10.8386015007349,0.693277918822518,13.1491,9.58453636363636,1023
2007,5,12.6099922358779,0.902512001381209,15.9308,10.8752666666667,1153,10.8632988209889,0.662460438486475,12.9914666666667,9.788275,860
2007,6,14.2254130564298,1.16257102918872,17.271,11.1630363636364,1438,12.0185344798366,0.767673984527326,13.6676666666667,10.3638428571429,1092
2007,7,14.9584171023902,1.2112436048244,18.1178333333333,11.75386,1231,12.3728789672683,0.772982039526277,14.69625,10.97905,970
2007,8,16.0471872207773,0.95091972284743,18.8408181818182,13.7022916666667,1223,13.1872924112312,0.516318846109064,14.907,11.8935384615385,1086
2007,9,16.1122945312331,1.45203833053567,20.3150714285714,13.7244444444444,599,13.5161204910666,0.584774883960357,16.6521,11.8898333333333,517
2007,10,13.3475149679343,0.992373016587647,16.7282,11.1793846153846,1147,12.4086492311852,0.907617279708459,14.8991428571429,10.9912307692308,1045
2007,11,13.3739023050909,0.605442124483579,15.1114166666667,11.9819166666667,1237,12.9281029706789,0.437420275009664,13.5497857142857,12.0163333333333,1129
2007,12,11.9163199381301,0.522929642983805,13.0999090909091,10.8552307692308,592,11.7914133459189,0.480061135370162,12.7350909090909,10.8956428571429,517
2008,1,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
2008,2,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
2008,3,10.9139083191519,0.740907715850945,13.3005384615385,9.59045454545454,875,10.0541505312417,0.521366542900647,11.644,9.07383333333333,706
2008,4,10.9008142714024,0.922756727079354,14.0735555555556,9.3376,1383,9.56758766084713,0.634822001843795,12.9069,8.68627272727272,1078
2008,5,12.6567270989009,1.56293945842831,17.7074545454545,9.77833333333333,1394,10.7250231462901,0.813482315091929,14.419,9.1745,1140
2008,6,14.0039119892476,1.46144707474303,18.3498333333333,11.1437,1440,11.7373140945423,0.932805071738436,14.2632,9.972,1197
2008,7,15.3564189876111,0.828745523530388,17.7242,13.5788,1430,13.2453054154322,0.769793364267729,15.7047,11.7556,1219
2008,8,16.5194372790376,0.681103872641425,19.758,14.9016,1488,14.0390505976736,0.565377982898543,16.21325,13.0145,1299
2008,9,16.6585971730199,0.591450376440024,18.432,15.1841,862,14.9109650277199,0.515424077920257,16.163,13.7439230769231,774
2008,10,14.4723597166982,1.15822603032097,18.0098571428571,12.0342,1486,13.4422036205747,0.711570664910117,15.4017142857143,11.5155555555556,1269
2008,11,13.9707226804331,0.779633807519007,16.2993,12.4889230769231,1429,13.6353257179036,0.930054688472998,15.2210833333333,12.0203888888889,1206
2008,12,13.0277804674791,0.974804832856654,15.0560833333333,11.4251666666667,1488,13.0241712790864,0.929969598622097,14.3164,11.4506,1253
2009,1,12.0874464963662,0.535011317621537,13.3575833333333,11.0689090909091,1160,11.9660782307589,0.442572689342489,13.1051111111111,11.4276,978
2009,2,12.4939096360194,0.302054541282464,13.32525,11.7461111111111,567,12.3458636355596,0.229055500787837,12.7415,11.9793333333333,489
2009,3,12.0575721189062,0.690861744056334,14.2786363636364,10.74725,1312,11.1798179097817,0.827860172669802,13.3158,9.8904,1072
2009,4,12.0643781335451,1.17260475857869,15.7895555555556,9.79541666666667,1187,10.5976552427916,0.935381287300138,12.54525,8.94041666666667,954
2009,5,12.8362868453983,0.879928812421297,15.1133636363636,10.6891,1485,11.0528199640553,0.936685723282987,12.8917777777778,9.72621428571429,1207
2009,6,14.0350260286881,0.554088778478494,15.2745789473684,13.092,130,12.4588950311261,0.287407746587764,13.5973,12.13725,99
2009,7,15.8684276538557,0.660418643632629,18.1307,14.4696153846154,495,12.3750362563958,0.362244243712646,13.4424,11.5938333333333,428
2009,8,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
2009,9,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
2009,10,14.8865697943114,1.36184658307173,17.4962,12.1019,1092,14.1299573106808,1.11540727158761,16.52,12.0001666666667,923
2009,11,13.3364469931236,0.656989991052688,15.0523,12.17925,1437,13.0276546395053,0.547486024623799,14.2401176470588,11.7709411764706,1179
2009,12,12.444299711516,0.166880518606793,12.8381666666667,11.9770833333333,370,12.4116582296629,0.0927266108514833,12.6039090909091,12.192,297
2010,1,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
2010,2,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
2010,3,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
2010,4,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
2010,5,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
2010,6,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
2010,7,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
2010,8,14.3956328884653,1.08242006858727,16.9388571428571,11.786,1483,11.8087961606684,0.545368664770567,13.4407272727273,10.4487692307692,1215
